Geneid	Entity	Symbol	Label	SourceFile
gene-PPLUZ19_gp23	phage	gp23	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp36	phage	gp36	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp16	phage	gp16	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp40	phage	gp40	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp44	phage	gp44	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp48	phage	gp48	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp5	phage	gp5	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp6	phage	gp6	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp46	phage	gp46	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp46.1	phage	gp46.1	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp31	phage	gp31	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp9	phage	gp9	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp19	phage	gp19	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp24	phage	gp24	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp11	phage	gp11	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp27	phage	gp27	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp0.1	phage	gp0.1	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp4	phage	gp4	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp42	phage	gp42	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp7	phage	gp7	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp26	phage	gp26	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp34	phage	gp34	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp20	phage	gp20	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp8	phage	gp8	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp14	phage	gp14	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp28	phage	gp28	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp35	phage	gp35	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp41	phage	gp41	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp32	phage	gp32	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp45	phage	gp45	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp10	phage	gp10	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp13	phage	gp13	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp49	phage	gp49	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp21	phage	gp21	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp12.1	phage	gp12.1	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp43	phage	gp43	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_PPLUZ19_gp20	phage	gene-PPLUZ19_PPLUZ19_gp20	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp12	phage	gp12	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp25	phage	gp25	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp1	phage	gp1	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp47	phage	gp47	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp25.1	phage	gp25.1	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp22	phage	gp22	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp37	phage	gp37	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp3	phage	gp3	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp30	phage	gp30	early	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp33	phage	gp33	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp13.1	phage	gp13.1	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp15	phage	gp15	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp39	phage	gp39	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp2	phage	gp2	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp18	phage	gp18	late	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp38	phage	gp38	middle	Brandao_LB_cleaned.tsv
gene-PPLUZ19_gp29	phage	gp29	late	Brandao_LB_cleaned.tsv
gene-PHIKZ060	phage	gene-PHIKZ060	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ241	phage	gene-PHIKZ241	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ219	phage	gene-PHIKZ219	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p25	phage	gene-PHIKZ_p25	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p52	phage	gene-PHIKZ_p52	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ016	phage	gene-PHIKZ016	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ069	phage	gene-PHIKZ069	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ001	phage	gene-PHIKZ001	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ119	phage	gene-PHIKZ119	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ208	phage	gene-PHIKZ208	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ010	phage	gene-PHIKZ010	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p40	phage	gene-PHIKZ_p40	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ257	phage	gene-PHIKZ257	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ116	phage	gene-PHIKZ116	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p23	phage	gene-PHIKZ_p23	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ250	phage	gene-PHIKZ250	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ240	phage	gene-PHIKZ240	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p05	phage	gene-PHIKZ_p05	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ288	phage	gene-PHIKZ288	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ195	phage	gene-PHIKZ195	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p02	phage	gene-PHIKZ_p02	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p77	phage	gene-PHIKZ_p77	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ286	phage	gene-PHIKZ286	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ058	phage	gene-PHIKZ058	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ287	phage	gene-PHIKZ287	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ066	phage	gene-PHIKZ066	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ112	phage	gene-PHIKZ112	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ011	phage	gene-PHIKZ011	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ215	phage	gene-PHIKZ215	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ190	phage	gene-PHIKZ190	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ040	phage	gene-PHIKZ040	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ171	phage	gene-PHIKZ171	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ084	phage	gene-PHIKZ084	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ142	phage	gene-PHIKZ142	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ290	phage	gene-PHIKZ290	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ096	phage	gene-PHIKZ096	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ081	phage	gene-PHIKZ081	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ143	phage	gene-PHIKZ143	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p65	phage	gene-PHIKZ_p65	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ034	phage	gene-PHIKZ034	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p84	phage	gene-PHIKZ_p84	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ031	phage	gene-PHIKZ031	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ175	phage	gene-PHIKZ175	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ053	phage	gene-PHIKZ053	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ234	phage	gene-PHIKZ234	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ070	phage	gene-PHIKZ070	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ172	phage	gene-PHIKZ172	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ089	phage	gene-PHIKZ089	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ271	phage	gene-PHIKZ271	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ167	phage	gene-PHIKZ167	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ134	phage	gene-PHIKZ134	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p57	phage	gene-PHIKZ_p57	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_t05	phage	gene-PHIKZ_t05	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ267	phage	gene-PHIKZ267	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ131	phage	gene-PHIKZ131	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ210	phage	gene-PHIKZ210	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p08	phage	gene-PHIKZ_p08	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p09	phage	gene-PHIKZ_p09	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p71	phage	gene-PHIKZ_p71	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p69	phage	gene-PHIKZ_p69	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p38	phage	gene-PHIKZ_p38	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p78	phage	gene-PHIKZ_p78	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ137	phage	gene-PHIKZ137	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ232	phage	gene-PHIKZ232	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p86	phage	gene-PHIKZ_p86	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ280	phage	gene-PHIKZ280	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_t04	phage	gene-PHIKZ_t04	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ262	phage	gene-PHIKZ262	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_t02	phage	gene-PHIKZ_t02	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ133	phage	gene-PHIKZ133	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p24	phage	gene-PHIKZ_p24	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ254	phage	gene-PHIKZ254	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ108	phage	gene-PHIKZ108	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p11	phage	gene-PHIKZ_p11	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ278	phage	gene-PHIKZ278	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ082	phage	gene-PHIKZ082	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ258	phage	gene-PHIKZ258	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ245	phage	gene-PHIKZ245	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p60	phage	gene-PHIKZ_p60	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ211	phage	gene-PHIKZ211	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p46	phage	gene-PHIKZ_p46	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ223	phage	gene-PHIKZ223	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p45	phage	gene-PHIKZ_p45	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ061	phage	gene-PHIKZ061	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p12	phage	gene-PHIKZ_p12	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ182	phage	gene-PHIKZ182	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p72	phage	gene-PHIKZ_p72	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ239	phage	gene-PHIKZ239	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ191	phage	gene-PHIKZ191	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ017	phage	gene-PHIKZ017	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p07	phage	gene-PHIKZ_p07	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ114	phage	gene-PHIKZ114	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ244	phage	gene-PHIKZ244	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ067	phage	gene-PHIKZ067	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ165	phage	gene-PHIKZ165	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p28	phage	gene-PHIKZ_p28	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_t03	phage	gene-PHIKZ_t03	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ246	phage	gene-PHIKZ246	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p85	phage	gene-PHIKZ_p85	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p80	phage	gene-PHIKZ_p80	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ236	phage	gene-PHIKZ236	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ229	phage	gene-PHIKZ229	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ063	phage	gene-PHIKZ063	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ029	phage	gene-PHIKZ029	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ020	phage	gene-PHIKZ020	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ185	phage	gene-PHIKZ185	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ204	phage	gene-PHIKZ204	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ078	phage	gene-PHIKZ078	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ264	phage	gene-PHIKZ264	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p04	phage	gene-PHIKZ_p04	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ002	phage	gene-PHIKZ002	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ092	phage	gene-PHIKZ092	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ228	phage	gene-PHIKZ228	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ077	phage	gene-PHIKZ077	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ098	phage	gene-PHIKZ098	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ064	phage	gene-PHIKZ064	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p83	phage	gene-PHIKZ_p83	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p32	phage	gene-PHIKZ_p32	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ110	phage	gene-PHIKZ110	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ018	phage	gene-PHIKZ018	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ193	phage	gene-PHIKZ193	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ226	phage	gene-PHIKZ226	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ015	phage	gene-PHIKZ015	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ090	phage	gene-PHIKZ090	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_t06	phage	gene-PHIKZ_t06	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ057	phage	gene-PHIKZ057	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ115	phage	gene-PHIKZ115	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ238	phage	gene-PHIKZ238	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ094	phage	gene-PHIKZ094	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ302	phage	gene-PHIKZ302	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ227	phage	gene-PHIKZ227	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p91	phage	gene-PHIKZ_p91	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ251	phage	gene-PHIKZ251	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p36	phage	gene-PHIKZ_p36	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p42	phage	gene-PHIKZ_p42	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ266	phage	gene-PHIKZ266	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ248	phage	gene-PHIKZ248	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ265	phage	gene-PHIKZ265	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ087	phage	gene-PHIKZ087	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ008	phage	gene-PHIKZ008	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ214	phage	gene-PHIKZ214	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ007	phage	gene-PHIKZ007	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ085	phage	gene-PHIKZ085	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ184	phage	gene-PHIKZ184	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ270	phage	gene-PHIKZ270	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p35	phage	gene-PHIKZ_p35	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ109	phage	gene-PHIKZ109	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ181	phage	gene-PHIKZ181	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p90	phage	gene-PHIKZ_p90	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ169	phage	gene-PHIKZ169	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p17	phage	gene-PHIKZ_p17	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ202	phage	gene-PHIKZ202	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ305	phage	gene-PHIKZ305	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p48	phage	gene-PHIKZ_p48	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ203	phage	gene-PHIKZ203	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ141	phage	gene-PHIKZ141	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ121	phage	gene-PHIKZ121	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ196	phage	gene-PHIKZ196	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ224	phage	gene-PHIKZ224	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ049	phage	gene-PHIKZ049	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ201	phage	gene-PHIKZ201	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p21	phage	gene-PHIKZ_p21	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ273	phage	gene-PHIKZ273	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p76	phage	gene-PHIKZ_p76	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ075	phage	gene-PHIKZ075	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ144	phage	gene-PHIKZ144	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p54	phage	gene-PHIKZ_p54	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ103	phage	gene-PHIKZ103	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p51	phage	gene-PHIKZ_p51	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p75	phage	gene-PHIKZ_p75	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ168	phage	gene-PHIKZ168	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ129	phage	gene-PHIKZ129	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p27	phage	gene-PHIKZ_p27	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ260	phage	gene-PHIKZ260	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p06	phage	gene-PHIKZ_p06	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ303	phage	gene-PHIKZ303	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p10	phage	gene-PHIKZ_p10	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p58	phage	gene-PHIKZ_p58	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p63	phage	gene-PHIKZ_p63	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p29	phage	gene-PHIKZ_p29	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_t01	phage	gene-PHIKZ_t01	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ088	phage	gene-PHIKZ088	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ111	phage	gene-PHIKZ111	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ301	phage	gene-PHIKZ301	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p61	phage	gene-PHIKZ_p61	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ122	phage	gene-PHIKZ122	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ177	phage	gene-PHIKZ177	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p67	phage	gene-PHIKZ_p67	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ124	phage	gene-PHIKZ124	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ256	phage	gene-PHIKZ256	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ003	phage	gene-PHIKZ003	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ004	phage	gene-PHIKZ004	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ023	phage	gene-PHIKZ023	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p01	phage	gene-PHIKZ_p01	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p22	phage	gene-PHIKZ_p22	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ128	phage	gene-PHIKZ128	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ249	phage	gene-PHIKZ249	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ012	phage	gene-PHIKZ012	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ274	phage	gene-PHIKZ274	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p88	phage	gene-PHIKZ_p88	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ099	phage	gene-PHIKZ099	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ275	phage	gene-PHIKZ275	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ200	phage	gene-PHIKZ200	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ261	phage	gene-PHIKZ261	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p20	phage	gene-PHIKZ_p20	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ019	phage	gene-PHIKZ019	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ149	phage	gene-PHIKZ149	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ068	phage	gene-PHIKZ068	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ071	phage	gene-PHIKZ071	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ042	phage	gene-PHIKZ042	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ100	phage	gene-PHIKZ100	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ146	phage	gene-PHIKZ146	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ135	phage	gene-PHIKZ135	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ048	phage	gene-PHIKZ048	early	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ027	phage	gene-PHIKZ027	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ_p44	phage	gene-PHIKZ_p44	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ272	phage	gene-PHIKZ272	middle	Ceyssens_non-directional_cleaned.tsv
gene-PHIKZ127	phage	gene-PHIKZ127	middle	Ceyssens_non-directional_cleaned.tsv
